"folderlist$BookmarkFolder","BookMark","BookMarkDescription"
"R Stats","http://www.cyclismo.org/tutorial/R/probability.html","R Tutorial: Basic Probability"
"R Stats","http://www.r-bloggers.com/how-to-create-pdf-reports-with-r-2/","How to create PDF reports with R | (R news &amp; tutorials)"
"R Stats","http://www.statistik.lmu.de/~leisch/Sweave/","LMU - Prof. Friedrich Leisch SWEAVE"
"R Stats","http://yihui.name/knitr/demo/stitch/","Quick reporting: Build a report based on an R script | knitr"
"R Stats","http://yihui.name/knitr/demo/minimal/","Minimal examples: Examples for Rnw, GFM, HTML and LaTeX | knitr"
"R Stats","http://rprogramming.net/create-html-or-pdf-files-with-r-knitr-miktex-and-pandoc/","Create HTML or PDF Files with R Knitr MikTex Pandoc | RProgramming.net"
"R Stats","http://journal.r-project.org/","The R Journal"
"R Stats","http://www.r-bloggers.com/2d-plot-with-histograms-for-each-dimension-2013-edition/","2D plot with histograms for each dimension (2013 edition) | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/tip-julia-vs-r-introduction-videos-and-more/","Tip: Julia vs. R – introduction videos and more | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/mastering-matrices/","Mastering Matrices | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/visualize-large-data-sets-with-the-bigvis-package/","Visualize large data sets with the bigvis package | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/instructions-for-installing-using-r-on-amazon-ec2/","Instructions for Installing &amp; Using R on Amazon EC2 | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/a-quick-introduction-to-ggplot2/","A quick introduction to ggplot2 | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/hihglight-cells-in-markdown-tables/","Highlight cells in markdown tables | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/installing-pandoc-from-r-on-windows/","Installing Pandoc from R (on Windows) – using the {installr} package | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/revisiting-clevelands-the-elements-of-graphing-data-in-ggplot2/","Revisiting Cleveland’s The Elements of Graphing Data in ggplot2 | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/visualizing-neural-networks-from-the-nnet-package/","Visualizing neural networks from the nnet package | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/easily-plotting-grouped-bars-with-ggplot-rstats/","Easily plotting grouped bars with ggplot #rstats | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/learn-how-to-analyze-data-with-r-with-courseras-data-analysis-videos/","Learn how to analyze data with R with Coursera’s &quot;Data Analysis&quot; videos | (R news &amp; tutorials)"
"R Stats","http://www.r-bloggers.com/lahman-a-new-r-package-for-baseball-stats/","Lahman: A New R Package for Baseball Stats | (R news &amp; tutorials)"
